# Copy of file TRUSTdust/IntegratedQuantites/ZDA_BARE_GR_S_Effective.dat
# downloaded from http://ipag.osug.fr/RT13/RTTRUST/opa.php on Jan 14, 2014
#
# Size integrated, component summed effective quantities for ZDA BARE-GR-S
#                        (see, e.g. Eqs. 9 of Steinacker et al 2013 ARAA)
#   lam         Cabs          Csca        Tau
#   [um]       [cm^2]        [cm^2]      [/N_H]           a           g
#-----------------------------------------------------------------------------
    0.01570 9.200830e-16 6.500690e-16 8.799980e-22   4.1402e-01  9.71643e-01
    0.01591 9.315490e-16 6.516940e-16 8.873350e-22   4.1162e-01  9.70788e-01
    0.01612 9.428180e-16 6.533240e-16 8.945640e-22   4.0931e-01  9.69915e-01
    0.01634 9.538110e-16 6.550980e-16 9.017190e-22   4.0717e-01  9.69021e-01
    0.01656 9.659080e-16 6.576910e-16 9.099520e-22   4.0508e-01  9.68026e-01
    0.01679 9.849120e-16 6.588980e-16 9.212790e-22   4.0084e-01  9.66931e-01
    0.01702 9.955550e-16 6.569770e-16 9.261670e-22   3.9756e-01  9.66212e-01
    0.01725 1.003630e-15 6.577240e-16 9.311100e-22   3.9590e-01  9.65348e-01
    0.01748 1.015570e-15 6.593140e-16 9.386930e-22   3.9365e-01  9.64320e-01
    0.01771 1.029560e-15 6.586470e-16 9.461610e-22   3.9015e-01  9.63390e-01
    0.01795 1.033490e-15 6.574410e-16 9.476860e-22   3.8881e-01  9.62677e-01
    0.01820 1.039550e-15 6.607230e-16 9.529240e-22   3.8860e-01  9.61571e-01
    0.01844 1.054040e-15 6.650600e-16 9.634770e-22   3.8686e-01  9.60165e-01
    0.01869 1.070920e-15 6.683790e-16 9.747950e-22   3.8428e-01  9.58749e-01
    0.01895 1.089830e-15 6.708180e-16 9.867630e-22   3.8101e-01  9.57327e-01
    0.01920 1.110370e-15 6.718700e-16 9.988620e-22   3.7698e-01  9.55941e-01
    0.01946 1.130970e-15 6.716050e-16 1.010260e-21   3.7258e-01  9.54632e-01
    0.01972 1.152470e-15 6.702250e-16 1.021540e-21   3.6771e-01  9.53396e-01
    0.01999 1.164380e-15 6.641470e-16 1.024800e-21   3.6321e-01  9.52796e-01
    0.02026 1.164520e-15 6.610180e-16 1.023130e-21   3.6210e-01  9.52172e-01
    0.02054 1.167030e-15 6.612650e-16 1.024680e-21   3.6168e-01  9.51180e-01
    0.02081 1.175200e-15 6.637470e-16 1.030650e-21   3.6094e-01  9.49823e-01
    0.02109 1.188760e-15 6.672110e-16 1.040180e-21   3.5950e-01  9.48210e-01
    0.02138 1.204050e-15 6.703760e-16 1.050530e-21   3.5764e-01  9.46557e-01
    0.02167 1.219440e-15 6.756420e-16 1.062110e-21   3.5652e-01  9.44650e-01
    0.02196 1.252560e-15 6.853820e-16 1.086130e-21   3.5366e-01  9.41776e-01
    0.02226 1.313400e-15 6.928240e-16 1.124400e-21   3.4534e-01  9.38428e-01
    0.02256 1.371360e-15 6.871530e-16 1.153700e-21   3.3381e-01  9.36777e-01
    0.02286 1.388290e-15 6.620320e-16 1.149110e-21   3.2289e-01  9.38354e-01
    0.02317 1.315120e-15 6.280980e-16 1.089080e-21   3.2322e-01  9.41953e-01
    0.02349 1.277980e-15 6.255940e-16 1.066860e-21   3.2864e-01  9.41686e-01
    0.02380 1.269510e-15 6.297310e-16 1.064440e-21   3.3157e-01  9.40336e-01
    0.02413 1.275250e-15 6.364620e-16 1.071430e-21   3.3293e-01  9.38447e-01
    0.02445 1.285970e-15 6.429760e-16 1.081090e-21   3.3333e-01  9.36429e-01
    0.02478 1.301070e-15 6.486630e-16 1.092730e-21   3.3269e-01  9.34345e-01
    0.02512 1.316310e-15 6.524980e-16 1.103420e-21   3.3142e-01  9.32391e-01
    0.02546 1.332370e-15 6.563100e-16 1.114560e-21   3.3002e-01  9.30388e-01
    0.02580 1.349430e-15 6.601620e-16 1.126280e-21   3.2851e-01  9.28323e-01
    0.02615 1.369150e-15 6.632460e-16 1.139070e-21   3.2634e-01  9.26235e-01
    0.02651 1.388600e-15 6.659710e-16 1.151490e-21   3.2414e-01  9.24167e-01
    0.02686 1.407390e-15 6.681630e-16 1.163250e-21   3.2192e-01  9.22152e-01
    0.02723 1.425790e-15 6.698180e-16 1.174490e-21   3.1963e-01  9.20190e-01
    0.02760 1.443340e-15 6.714380e-16 1.185240e-21   3.1750e-01  9.18233e-01
    0.02797 1.461350e-15 6.744390e-16 1.197010e-21   3.1578e-01  9.16064e-01
    0.02835 1.483000e-15 6.772900e-16 1.210740e-21   3.1352e-01  9.13799e-01
    0.02873 1.505630e-15 6.795200e-16 1.224670e-21   3.1097e-01  9.11568e-01
    0.02912 1.527890e-15 6.818010e-16 1.238430e-21   3.0855e-01  9.09315e-01
